model,year,price,mileage,tax,mpg,engineSize,manual,automatic,fuelType,petrol,diesel,hybrid
Fabia,2017,11490,2000,145,61.4,1,0,1,4,1,0,0
Kuga,2017,14450,12109,165,45.6,1.5,1,0,4,1,0,0
Superb,2019,27990,10,145,38.2,2,0,1,4,1,0,0
Adam,2014,4998,44932,125,51.4,1.4,1,0,4,1,0,0
Touareg,2020,44990,6000,145,34,3,0,1,1,0,1,0
Yaris,2016,12295,24958,0,78,1.5,0,1,2,0,0,1
Aygo,2016,6800,21672,0,69,1,1,0,4,1,0,0
X6,2019,54995,3455,145,34.9,3,0,1,1,0,1,0
Aygo,2017,7698,15126,150,68.9,1,1,0,4,1,0,0
Golf,2016,17698,23033,30,62.8,2,0,1,1,0,1,0
GLE Class,2019,52000,3196,150,32.8,2.9,0,1,1,0,1,0
Q5,2019,36444,5429,145,38.2,2,0,1,1,0,1,0
Corsa,2016,6399,30000,30,55.4,1.4,1,0,4,1,0,0
Golf,2016,20990,18259,160,44.1,2,0,1,4,1,0,0
I30,2019,25687,1500,145,34,2,1,0,4,1,0,0
Fabia,2019,12290,14104,145,60.1,1,0,1,4,1,0,0
Verso,2015,14274,10500,165,43.5,1.8,0,1,4,1,0,0
Ioniq,2019,21780,4489,135,62.8,1.6,0,1,2,0,0,1
GLS Class,2019,47980,13110,145,37.2,3,0,1,1,0,1,0
X4,2017,24500,22768,145,54.3,2,0,1,1,0,1,0
Mokka X,2017,10999,13723,200,42.2,1.6,1,0,4,1,0,0
Golf,2016,12799,43665,0,72.4,1.6,0,1,1,0,1,0
